electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
midjaw,lateral_pterygoid,aniso,truncated,0.1011113899540116,-0.2551
midjaw,orbicularis_oris,aniso,truncated,0.1884592065454851,-5.3179
midjaw,buccinator,aniso,truncated,0.1733512448210213,-8.8829
midjaw,mentalis,aniso,truncated,0.1104834682838336,-18.1551
midjaw,depressor_anguli_oris,aniso,truncated,0.1727592810819926,-11.282
midjaw,platysma,aniso,truncated,0.147021346016082,-7.4044
midjaw,sternocleidomastoid,aniso,truncated,0.1812037867259124,4.1205
post_lobule,masseter,aniso,truncated,0.1305167208115034,-2.3652
post_lobule,temporalis,aniso,truncated,0.0955389096265429,-0.9392
post_lobule,medial_pterygoid,aniso,truncated,0.2338844222599555,3.3382
post_lobule,lateral_pterygoid,aniso,truncated,0.0995037514785962,-0.3943
post_lobule,orbicularis_oris,aniso,truncated,0.1070881473261547,-10.2274
post_lobule,buccinator,aniso,truncated,0.132115682567115,-11.2424
post_lobule,mentalis,aniso,truncated,0.0621162769478443,-23.1569
post_lobule,depressor_anguli_oris,aniso,truncated,0.108959255420199,-15.2855
post_lobule,platysma,aniso,truncated,0.0989601442540204,-10.8428
post_lobule,sternocleidomastoid,aniso,truncated,0.2151212896476134,5.6108
pre_tragus,masseter,aniso,truncated,0.1490765526848324,-1.2103
pre_tragus,temporalis,aniso,truncated,0.1283329537165103,1.6239
pre_tragus,medial_pterygoid,aniso,truncated,0.2147788927804889,2.598
pre_tragus,lateral_pterygoid,aniso,truncated,0.1179351363055924,1.0817
pre_tragus,orbicularis_oris,aniso,truncated,0.1194989520347411,-9.2749
